Wavelength	Red	Reflectance	LowCI	UpperCI
654	Natural	10.91654321	8.924627826	12.90845859
655	Natural	10.96506173	8.96531795	12.96480551
656	Natural	11.00234568	8.999220696	13.00547066
657	Natural	11.0162963	9.013068636	13.01952396
658	Natural	11.01246914	9.013356222	13.01158205
659	Natural	11.0608642	9.054139988	13.06758841
660	Natural	11.11518519	9.096104231	13.13426614
661	Natural	11.21518519	9.176652372	13.253718
662	Natural	11.30716049	9.247080751	13.36724024
663	Natural	11.35407407	9.281712736	13.42643541
664	Natural	11.38864198	9.308247006	13.46903695
665	Natural	11.41271605	9.326550212	13.49888189
666	Natural	11.43666667	9.343893904	13.52943943
667	Natural	11.45814815	9.358875447	13.55742085
668	Natural	11.48296296	9.379112671	13.58681325
669	Natural	11.52345679	9.413076454	13.63383713
670	Natural	11.57037037	9.453942095	13.68679865
671	Natural	11.61641975	9.49105644	13.74178307
672	Natural	11.66641975	9.532184105	13.8006554
673	Natural	11.69888889	9.556477234	13.84130054
674	Natural	11.72777778	9.576408447	13.87914711
675	Natural	11.76012346	9.60077957	13.91946734
676	Natural	11.78703704	9.61974419	13.95432988
677	Natural	11.81283951	9.641897595	13.98378142
678	Natural	11.82425926	9.655400514	13.993118
679	Natural	11.81962963	9.655350342	13.98390892
680	Natural	11.84938272	9.678809586	14.01995585
681	Natural	11.88246914	9.700402597	14.06453568
682	Natural	11.96333333	9.763440646	14.16322602
683	Natural	12.03271605	9.817983429	14.24744867
684	Natural	12.0745679	9.852005962	14.29712984
685	Natural	12.10148148	9.873367665	14.3295953
686	Natural	12.10320988	9.872112746	14.33430701
687	Natural	12.11728395	9.881197788	14.35337011
688	Natural	12.14765432	9.904610948	14.39069769
689	Natural	12.18037037	9.930167653	14.43057309
690	Natural	12.20925926	9.952528292	14.46599023
691	Natural	12.23333333	9.974944128	14.49172254
692	Natural	12.25666667	9.998581027	14.51475231
693	Natural	12.28901235	10.03115569	14.546869
694	Natural	12.32814815	10.06530896	14.59098734
695	Natural	12.35024691	10.0789297	14.62156413
696	Natural	12.33101852	10.05601265	14.60602439
697	Natural	12.22901235	9.972654373	14.48537032
698	Natural	12.20975309	9.965663711	14.45384246
699	Natural	12.25555556	10.00712921	14.50398191
700	Natural	12.33938272	10.07704842	14.60171701
280	Painted	1.50308642	1.174552715	1.831620125
281	Painted	1.549259259	1.223035261	1.875483258
282	Painted	1.594567901	1.268178743	1.920957059
283	Painted	1.680740741	1.355444201	2.006037281
284	Painted	1.733703704	1.409090083	2.058317324
285	Painted	1.755432099	1.431894448	2.07896975
286	Painted	1.782222222	1.456873088	2.107571357
287	Painted	1.788395062	1.460277803	2.11651232
288	Painted	1.796666667	1.467201398	2.126131935
