"FID","MID","VideoID","DelayLeaveDish","TotalWatch","NbFAttacks","NbIntendedFAttacks","NBCourt","TotalCourtDur","CopDur","NaiveNBCourt","NaiveTotalCourtDur","TrialDate","CopulateYN","CopDuringVideo","CannibalizeYN","EatDuringVideo","DelayFirstFAttack","DelayConsum","DelayFirstCourt","DelayNaiveFirstCourt","MTrt","FTrt"
18442,18505,94,33,40,1,1,NA,NA,NA,NA,NA,2018-07-23,0,0,1,1,40,40,NA,NA,"AllGrey","RedPreference"
18443,18364,187,173,4089,1,1,37,2325,0,15,1589,2018-08-17,1,1,0,0,2669,NA,1231,1231,"Unmanipulated","RedAverse"
18444,18274,108,58,3674,0,1,67,2859,1887,67,2859,2018-07-15,1,1,0,0,NA,NA,175,175,"RedGrey","RedPreference"
18445,18407,95,39,1668,1,3,11,427,0,11,427,2018-07-30,0,0,1,1,1668,1668,589,589,"AllRed","RedAverse"
18446,18510,128,691,4280,0,2,27,1082,2046,27,1082,2018-07-26,1,1,1,0,NA,NA,1695,1695,"AllGrey","RedPreference"
18452,18245,72,87,1510,0,0,3,559,1301,3,559,2018-07-02,1,1,0,0,NA,NA,493,493,"AllGrey","RedAverse"
18453,18430,215,300,7213,4,5,25,4959,0,16,3135,2018-07-11,0,0,1,0,3524,NA,217,217,"RedGrey","RedPreference"
18454,18318,216,5,7217,0,7,64,3823,0,64,3823,2018-07-27,0,0,0,0,NA,NA,39,39,"AllGrey","RedAverse"
18455,18395,272,237,7178,0,0,50,3765,0,50,3765,2018-07-10,0,0,1,0,NA,NA,2165,2165,"RedGrey","RedPreference"
18456,18386,97,174,211,1,1,NA,NA,NA,NA,NA,2018-08-08,0,0,1,1,211,211,NA,NA,"AllGrey","RedAverse"
18461,18398,142,495,2135,0,0,5,621,1730,5,621,2018-08-01,1,1,1,0,NA,NA,1454,1454,"Unmanipulated","RedPreference"
18463,18360,241,70,7178,1,6,168,4463,0,125,3848,2018-07-14,0,0,1,0,5635,NA,80,80,"RedGrey","RedPreference"
18468,18227,78,135,1800,2,2,20,1565,1194,1,733,2018-07-22,1,1,1,1,704,3853,87,87,"RedGrey","RedPreference"
18469,18212,273,334,7194,8,13,201,2843,0,31,383,2018-07-05,0,0,0,0,1343,NA,208,208,"AllRed","RedAverse"
18470,18343,243,0,7125,3,4,158,2490,0,11,239,2018-07-04,0,0,0,0,742,NA,279,279,"RedGrey","RedPreference"
18472,18324,77,479,825,0,0,2,325,2128,2,325,2018-07-13,1,1,0,0,NA,NA,428,428,"AllGrey","RedAverse"
18473,18345,37,73,7294,3,4,82,2844,0,18,802,2018-07-05,0,0,1,0,1131,NA,80,80,"RedGrey","RedPreference"
18474,18383,33,1639,3965,0,0,16,852,1398,16,852,2018-07-07,1,1,1,0,NA,NA,2930,2930,"RedGrey","RedAverse"
18475,18381,274,1155,7188,0,2,156,3990,0,156,3990,2018-07-07,0,0,0,0,NA,NA,84,84,"AllGrey","RedPreference"
18476,18434,151,147,458,0,0,4,276,1189,4,276,2018-07-06,1,1,1,0,NA,NA,147,147,"RedGrey","RedAverse"
18478,18390,90,97,1451,2,3,59,939,0,53,853,2018-09-06,0,0,1,1,1317,1451,59,59,"Unmanipulated","RedAverse"
18479,18487,231,1017,8012,3,4,82,2971,0,41,828,2018-07-28,0,0,0,0,4013,NA,1055,1055,"AllRed","RedPreference"
18489,18210,102,57,4849,1,1,106,2314,199,33,757,2018-07-08,1,1,0,0,1505,NA,140,140,"AllGrey","RedPreference"
18490,18406,230,228,7169,2,7,38,858,0,23,634,2018-07-10,0,0,0,0,5700,NA,88,88,"AllGrey","RedAverse"
18491,18482,135,317,4818,0,1,8,4467,3183,8,4467,2018-07-21,1,1,0,0,NA,NA,317,317,"RedGrey","RedPreference"
18495,18441,154,64,1303,3,7,14,592,1231,6,132,2018-07-10,1,1,1,0,746,NA,555,555,"AllRed","RedAverse"
18496,18409,242,26,7193,0,2,48,446,0,48,446,2018-07-10,0,0,0,0,NA,NA,170,170,"AllGrey","RedPreference"
18500,18429,229,77,7226,0,4,21,2837,0,21,2837,2018-07-11,0,0,0,0,NA,NA,314,314,"AllGrey","RedPreference"
18501,18392,238,1882,7190,1,2,57,1056,0,15,158,2018-07-21,0,0,1,0,2232,NA,765,765,"AllGrey","RedAverse"
18502,18374,225,98,7316,1,3,25,5509,0,6,1825,2018-08-12,0,0,1,0,2009,NA,103,103,"Unmanipulated","RedPreference"
18503,18435,116,797,1631,0,3,15,577,1315,15,577,2018-07-30,1,1,1,0,NA,NA,754,754,"RedGrey","RedAverse"
18504,18271,177,309,3067,0,2,16,1300,2104,16,1300,2018-07-29,1,1,1,0,NA,NA,790,790,"RedGrey","RedPreference"
18506,18366,276,134,7257,4,5,70,3225,0,1,11,2018-07-11,0,0,1,0,186,NA,186,186,"AllRed","RedAverse"
18507,18405,86,261,646,1,1,9,164,0,9,164,2018-07-21,1,1,1,1,646,646,56,56,"AllGrey","RedPreference"
18508,18579,265,545,7261,1,4,43,3524,0,9,1536,2018-08-30,0,0,0,0,2819,NA,980,980,"AllRed","RedAverse"
18511,18425,183,2,6623,0,2,22,4187,1056,22,4187,2018-07-13,1,1,0,0,NA,NA,279,279,"AllRed","RedPreference"
18512,18486,171,299,643,0,1,4,497,813,4,497,2018-07-12,1,1,1,0,NA,NA,94,94,"RedGrey","RedAverse"
18513,18493,234,68,7204,1,3,138,5683,0,69,3512,2018-07-25,1,0,0,0,4197,NA,71,71,"RedGrey","RedPreference"
